Latitude,Longitude,Neighborhood,VenueCategory,VenueLatitude,VenueLongitude,VenueName
5.3228416,100.2890394,Bayan Baru,Department Store,5.3371040999999995,100.2958046,Sunshine Lip Sin
5.4318216,100.3117683,Pulau Tikus,Department Store,5.437015799999999,100.30661009999999,Cold Storage Gurney Plaza
5.4145681,100.3298035,George Town,Department Store,5.418783599999999,100.3310061,Mydin Georgetown
5.3228416,100.2890394,Bayan Baru,Department Store,5.3343625999999995,100.2909708,Mydin Bukit Jambul
5.3663396,100.447698029297,Bukit Mertajam,Department Store,5.3682623,100.41458109999999,Mydin Bukit Mertajam
5.3718034,100.276162,Paya Terubong,Department Store,5.3858678,100.2759622,Econsave Ayer Hitam
5.3935211,100.366264819942,Butterworth,Department Store,5.3990305,100.3763332,Econsave Butterworth
5.4104982,100.4136507,Permatang Pauh,Department Store,5.431149400000001,100.3868007,Econsave Raja Uda
5.3228416,100.2890394,Bayan Baru,Department Store,5.3321429,100.30518409999999,AEON Queensbay
5.4104982,100.4136507,Permatang Pauh,Department Store,5.3881496,100.4107418,AEON BiG PENANG PRAI
5.2817072,100.4765976,Simpang Ampat,Department Store,5.3195843,100.4770199,AEON Alma
5.3663396,100.447698029297,Bukit Mertajam,Department Store,5.3283557,100.4457399,Aeon Big Bukit Minyak
5.4461393,100.3052541,Tanjung Tokong,Department Store,5.4391435999999995,100.3051877,Parkson Plaza Gurney
5.4145681,100.3298035,George Town,Department Store,5.4121543,100.3311959,Parkson 
5.4104982,100.4136507,Permatang Pauh,Department Store,5.3985902,100.3979649,Parkson Sunway Carnival Mall
5.4104982,100.4136507,Permatang Pauh,Hardware Stores,5.409109833991382,100.40784093599521,Win Wins Kitchen Equipments Sdn. Bhd.
5.3228416,100.2890394,Bayan Baru,Gourmet Shops,5.332248189530378,100.29355600541744,bakery ingredients & kitchen supplies
5.3482059,100.2274047,Balik Pulau,Department Stores,5.351872,100.235224,Ceria 99 - Balik Pulau
5.3228416,100.2890394,Bayan Baru,Supermarkets,5.3211925901485575,100.28425671855192,Giant Hypermarket
5.4145681,100.3298035,George Town,Supermarkets,5.415766,100.330555,Pacific Market Place
5.3869071,100.3120903,Jelutong,Supermarkets,5.394207776899197,100.31475221542844,Sunshine Jelutong
5.5146783,100.4284639,Kepala Batas,Supermarkets,5.517612,100.429965,sweet world enterprise
5.1700963,100.4785191,Nibong Tebal,Supermarkets,5.166895787572394,100.4755666383724,Yawata
5.3777664,100.3819635,Perai,Supermarkets,5.386533063133318,100.3846177917183,Mydin Wahab Enterprise
5.4318216,100.3117683,Pulau Tikus,Supermarkets,5.431111574817417,100.3114695406104,Supermarket Bandar Baru (新城)
5.4461393,100.3052541,Tanjung Tokong,Grocery Stores,5.450467811379846,100.30644353640473,Cold Storage
